province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Hamedan,2016,12,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2017,1,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2017,2,0.0,0.0,2.0,1.0,MM+ACLED
Hamedan,2017,3,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2017,4,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2017,5,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2017,6,0.0,0.0,5.0,0.0,MM+ACLED
Hamedan,2017,7,0.0,0.0,4.0,0.0,MM+ACLED
Hamedan,2017,8,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2017,9,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2017,10,0.0,0.0,5.0,0.0,MM+ACLED
Hamedan,2017,11,0.0,0.0,6.0,0.0,MM+ACLED
Hamedan,2017,12,2.0,1.0,3.0,0.0,MM+ACLED
Hamedan,2018,1,1.0,1.0,13.0,0.0,MM+ACLED
Hamedan,2018,2,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2018,3,1.0,1.0,2.0,0.0,MM+ACLED
Hamedan,2018,4,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2018,5,0.0,0.0,6.0,0.0,MM+ACLED
Hamedan,2018,6,1.0,1.0,3.0,0.0,MM+ACLED
Hamedan,2018,7,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2018,8,1.0,1.0,1.0,0.0,MM+ACLED
Hamedan,2018,9,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2018,10,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2018,11,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2018,12,1.0,1.0,1.0,0.0,MM+ACLED
Hamedan,2019,1,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,2,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,3,0.0,0.0,7.0,1.0,MM+ACLED
Hamedan,2019,4,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2019,5,0.0,0.0,8.0,0.0,MM+ACLED
Hamedan,2019,6,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,7,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,8,0.0,0.0,1.0,1.0,MM+ACLED
Hamedan,2019,9,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,10,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2019,11,4.0,1.0,3.0,1.0,MM+ACLED
Hamedan,2019,12,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2020,1,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2020,2,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2020,3,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2020,4,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2020,5,0.0,0.0,1.0,1.0,MM+ACLED
Hamedan,2020,6,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2020,7,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2020,8,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2020,9,0.0,0.0,2.0,0.0,MM+ACLED
Hamedan,2020,10,0.0,0.0,0.0,0.0,MM+ACLED
Hamedan,2020,11,0.0,0.0,3.0,0.0,MM+ACLED
Hamedan,2020,12,0.0,0.0,1.0,0.0,MM+ACLED
Hamedan,2021,1,,,1.0,0.0,ACLED
Hamedan,2021,2,,,0.0,0.0,ACLED
Hamedan,2021,3,,,0.0,0.0,ACLED
Hamedan,2021,4,,,2.0,1.0,ACLED
Hamedan,2021,5,,,5.0,0.0,ACLED
Hamedan,2021,6,,,3.0,0.0,ACLED
Hamedan,2021,7,,,1.0,0.0,ACLED
Hamedan,2021,8,,,3.0,0.0,ACLED
Hamedan,2021,9,,,5.0,0.0,ACLED
Hamedan,2021,10,,,7.0,0.0,ACLED
Hamedan,2021,11,,,2.0,0.0,ACLED
Hamedan,2021,12,,,19.0,0.0,ACLED
Hamedan,2022,1,,,22.0,0.0,ACLED
Hamedan,2022,2,,,9.0,0.0,ACLED
Hamedan,2022,3,,,1.0,0.0,ACLED
Hamedan,2022,4,,,2.0,0.0,ACLED
Hamedan,2022,5,,,2.0,0.0,ACLED
Hamedan,2022,6,,,4.0,0.0,ACLED
Hamedan,2022,7,,,3.0,0.0,ACLED
Hamedan,2022,8,,,3.0,0.0,ACLED
Hamedan,2022,9,,,7.0,0.0,ACLED
Hamedan,2022,10,,,13.0,0.0,ACLED
Hamedan,2022,11,,,4.0,0.0,ACLED
Hamedan,2022,12,,,4.0,0.0,ACLED
Hormozgan,2005,1,0.0,0.0,,,MM
Hormozgan,2005,2,0.0,0.0,,,MM
Hormozgan,2005,3,0.0,0.0,,,MM
Hormozgan,2005,4,0.0,0.0,,,MM
Hormozgan,2005,5,0.0,0.0,,,MM
Hormozgan,2005,6,0.0,0.0,,,MM
Hormozgan,2005,7,0.0,0.0,,,MM
Hormozgan,2005,8,0.0,0.0,,,MM
Hormozgan,2005,9,0.0,0.0,,,MM
Hormozgan,2005,10,0.0,0.0,,,MM
Hormozgan,2005,11,0.0,0.0,,,MM
Hormozgan,2005,12,0.0,0.0,,,MM
Hormozgan,2006,1,0.0,0.0,,,MM
Hormozgan,2006,2,0.0,0.0,,,MM
Hormozgan,2006,3,0.0,0.0,,,MM
Hormozgan,2006,4,0.0,0.0,,,MM
Hormozgan,2006,5,0.0,0.0,,,MM
Hormozgan,2006,6,0.0,0.0,,,MM
Hormozgan,2006,7,0.0,0.0,,,MM
Hormozgan,2006,8,0.0,0.0,,,MM
Hormozgan,2006,9,0.0,0.0,,,MM
Hormozgan,2006,10,0.0,0.0,,,MM
Hormozgan,2006,11,0.0,0.0,,,MM
Hormozgan,2006,12,0.0,0.0,,,MM
Hormozgan,2007,1,0.0,0.0,,,MM
Hormozgan,2007,2,0.0,0.0,,,MM
Hormozgan,2007,3,0.0,0.0,,,MM
Hormozgan,2007,4,0.0,0.0,,,MM
Hormozgan,2007,5,0.0,0.0,,,MM
Hormozgan,2007,6,0.0,0.0,,,MM
Hormozgan,2007,7,0.0,0.0,,,MM
Hormozgan,2007,8,0.0,0.0,,,MM
Hormozgan,2007,9,0.0,0.0,,,MM
Hormozgan,2007,10,0.0,0.0,,,MM
Hormozgan,2007,11,0.0,0.0,,,MM
Hormozgan,2007,12,0.0,0.0,,,MM
Hormozgan,2008,1,0.0,0.0,,,MM
Hormozgan,2008,2,0.0,0.0,,,MM
Hormozgan,2008,3,0.0,0.0,,,MM
Hormozgan,2008,4,0.0,0.0,,,MM
Hormozgan,2008,5,0.0,0.0,,,MM
Hormozgan,2008,6,0.0,0.0,,,MM
Hormozgan,2008,7,0.0,0.0,,,MM
Hormozgan,2008,8,0.0,0.0,,,MM
Hormozgan,2008,9,0.0,0.0,,,MM
Hormozgan,2008,10,1.0,1.0,,,MM
Hormozgan,2008,11,0.0,0.0,,,MM
Hormozgan,2008,12,0.0,0.0,,,MM
Hormozgan,2009,1,0.0,0.0,,,MM
Hormozgan,2009,2,0.0,0.0,,,MM
Hormozgan,2009,3,0.0,0.0,,,MM
Hormozgan,2009,4,0.0,0.0,,,MM
