province;year;month;n_events_mm;onset_mm;n_events_acled;onset_acled;source;price_usd_2015;benchmark_2015_adj;bmgap2015adj;price_growth_3m;fuel_dependency_hbsir;subsidy_x_fueldep_hbsir;onset;time_id;brent_shock;unemployment_rate;inflation_rate;s_t;s_dummy;brent_x_fueldep;bmgap_c;fueldep_c;subsidy_x_fueldep_c;brent_x_fueldep_c;urbanization_cluster
Khuzestan;2006;8;0;0;NA;NA;MM;0.1029827382;0.8474575319;-0.7444747936;-0.009098611565;0.18705723903435187;-0.13925939942148496;0;200608;94.758.567.821.067.800;12. Sep;100.158.982.511.924;0.42925078373107;0;17.725.276.071.458.300;-0.30462593010723954;-0.036888367523302545;0.011237153266923726;-0.34954888757653424;2
Khuzestan;2006;9;0;0;NA;NA;MM;0.1026433887;0.6546008823;-0.5519574936;-0.009742444908;0.18705723903435187;-0.10324764481713694;0;200609;-25.665.862.820.754.000;12. Sep;100.158.982.511.924;0.42925078373107;0;-0.4800985436684676;-0.11210863010723954;-0.036888367523302545;0.004135504349929833;0.09467717805346422;2
Khuzestan;2006;10;0;0;NA;NA;MM;0.1022447261;0.5838351267;-0.4815904007;-0.008408171601;0.18705723903435187;-0.0900849707003892;0;200610;-663.784.169.333.082;12. Sep;100.158.982.511.924;0.396776235844336;0;-12.416.563.403.015.700;-0.0417415372072395;-0.036888367523302545;0.0015397771654882583;0.2448591439450882;2
Khuzestan;2006;11;0;0;NA;NA;MM;0.1021168417;0.5569473694;-0.4548305277;-0.006595619449;0.18705723903435187;-0.08507934274009929;0;200611;-5.623.794.074.283.200;12. Sep;100.158.982.511.924;0.396776235844336;0;-10.519.713.924.331.600;-0.014981664207239509;-0.036888367523302545;5,53E+11;0.20745258268752984;2
Khuzestan;2006;12;0;0;NA;NA;MM;0.101966392;0.6326470673;-0.5306806753;-0.005926455801;0.18705723903435187;-0.09926766193050336;0;200612;-2.206.347.902.034.400;12. Sep;100.158.982.511.924;0.396776235844336;0;-0.41271334690378986;-0.09083181180723948;-0.036888367523302545;0.0033506372567529016;0.08138857229451253;2
Khuzestan;2007;1;0;0;NA;NA;MM;0.1016387772;0.6261062074;-0.5244674302;-0.008083482585;0.1973891533992203;-0.10352418203264266;0;200701;-11.465.057.175.217.300;11. Jun;173.410.404.624.277;0.440199568783798;0;-22.630.779.294.898.000;-0.0846185667072395;-0.026556453158434107;0.0022471690030946376;0.3044712538324285;2
Khuzestan;2007;2;0;0;NA;NA;MM;0.101291382;0.5577368006;-0.4564454186;-0.008792651811;0.1973891533992203;-0.09009737475040672;0;200702;-6.815.378.812.644.250;11. Jun;173.410.404.624.277;0.440199568783798;0;-13.452.818.539.228.300;-0.016596555107239508;-0.026556453158434107;4,41E+11;0.18099228819497143;2
Khuzestan;2007;3;0;0;NA;NA;MM;0.101069837;0.6931433235;-0.5920734865;-0.007530657298;0.1973891533992203;-0.1168688842503597;0;200703;-20.995.295.303.476.000;11. Jun;173.410.404.624.277;0.440199568783798;0;-0.4144243565319759;-0.15222462300723955;-0.026556453158434107;0.004042546070452048;0.05575605762742527;2
Khuzestan;2007;4;0;0;NA;NA;MM;0.1008733704;0.7285525462;-0.6276791758;-0.006795348466;0.1973891533992203;-0.12389706111748236;0;200704;33.369.994.031.521.400;11. Jun;173.410.404.624.277;0.254304649286728;0;0.658687487081906;-0.1878303123072395;-0.026556453158434107;0.004988106890521256;-0.0886188683395326;2
Khuzestan;2007;5;0;0;NA;NA;MM;0.1006030717;0.7762080925;-0.6756050207;-0.007859805749;0.1973891533992203;-0.1333571030682357;0;200705;3.294.666.867.266.980;11. Jun;173.410.404.624.277;0.254304649286728;0;0.6503315036622911;-0.23575615720723947;-0.026556453158434107;0.006260847345686483;-0.08749466633322048;2
Khuzestan;2007;6;0;0;NA;NA;MM;0.1002754477;0.7828100586;-0.6825346109;0.2385529604;0.1973891533992203;-0.13472492901121724;0;200706;7.341.832.075.247.400;11. Jun;173.410.404.624.277;0.254304649286728;0;14.491.980.177.323.200;-0.24268574740723953;-0.026556453158434107;0.006444872683239928;-0.19497301960339672;2
Khuzestan;2007;7;0;0;NA;NA;MM;0.1249370115;0.7665590146;-0.6416220031;0.2376787781;0.1973891533992203;-0.1266492239942209;0;200707;13.018.634.023.299.300;11. Jun;173.410.404.624.277;0.350659151017574;0;25.697.371.482.733.400;-0.20177313960723947;-0.026556453158434107;0.0053583789306098405;-0.34572874462654607;2
Khuzestan;2007;8;0;0;NA;NA;MM;0.1245142869;0.7149829655;-0.5904686786;0.236968801;0.1973891533992203;-0.1165521125776103;0;200708;6.578.194.064.707.210;11. Jun;173.410.404.624.277;0.350659151017574;0;12.984.641.573.283.300;-0.15061981510723949;-0.026556453158434107;0.003999928064627411;-0.17469350254648652;2
