Months,Price_raw,unit_raw,source,price_usd_per_liter,fx_rial_per_usd,notes,benchmark_price_usd_per_gallon,benchmark_usd_per_liter_ross,cpi,deflator,price_usd_2015,benchmark_usd_2015,bmgap2015adj
2013-03,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.914,0.8698811096,232.28,1.02,0.3328940059,0.8875572052,0.5369871037
2013-04,4000,rial_per_liter,ross/iran_rial_series,0.3277613897,12204,converted from rial using BIS end-of-period IRR/USD,2.706,0.8149273448,231.80,1.02,0.3351212694,0.8332265326,0.4798060754
2013-05,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.742,0.8244385733,231.89,1.02,0.3334524349,0.8426023673,0.4909861384
2013-06,4000,rial_per_liter,ross/iran_rial_series,0.3262642741,12260,converted from rial using BIS end-of-period IRR/USD,2.74,0.8239101717,232.45,1.02,0.3326605669,0.8400626321,0.4912496048
2013-07,4000,rial_per_liter,ross/iran_rial_series,0.1613553852,24790,converted from rial using BIS end-of-period IRR/USD,2.924,0.8725231176,232.90,1.02,0.1641972907,0.8878906136,0.7083258268
2013-08,4000,rial_per_liter,ross/iran_rial_series,0.1612448099,24807,converted from rial using BIS end-of-period IRR/USD,2.933,0.8749009247,233.46,1.02,0.1636939828,0.8881899328,0.7112069419
2013-09,4000,rial_per_liter,ross/iran_rial_series,0.1612123166,24812,converted from rial using BIS end-of-period IRR/USD,2.797,0.8389696169,233.54,1.01,0.163599328,0.8513919311,0.6753702889
2013-10,4000,rial_per_liter,ross/iran_rial_series,0.1602885193,24955,converted from rial using BIS end-of-period IRR/USD,2.685,0.8093791281,233.67,1.01,0.1625748373,0.8209239228,0.6468042908
2013-11,4000,rial_per_liter,ross/iran_rial_series,0.1611928269,24815,converted from rial using BIS end-of-period IRR/USD,2.673,0.8062087186,234.10,1.01,0.1631910396,0.8162028139,0.643017679
2013-12,4000,rial_per_liter,ross/iran_rial_series,0.1614595947,24774,converted from rial using BIS end-of-period IRR/USD,2.736,0.8228533686,234.72,1.01,0.1630300354,0.8308568716,0.6598233332
2014-01,4000,rial_per_liter,ross/iran_rial_series,0.1608622215,24866,converted from rial using BIS end-of-period IRR/USD,2.672,0.8059445178,235.29,1.01,0.1620340528,0.8118155733,0.643910465
2014-02,4000,rial_per_liter,ross/iran_rial_series,0.1606554743,24898,converted from rial using BIS end-of-period IRR/USD,2.795,0.8384412153,235.55,1.01,0.1616478611,0.8436203599,0.6767933543
2014-03,4000,rial_per_liter,ross/iran_rial_series,0.1572079862,25444,converted from rial using BIS end-of-period IRR/USD,2.753,0.827344782,236.03,1.00,0.1578567252,0.830758927,0.6694880568
2014-04,4000,rial_per_liter,ross/iran_rial_series,0.1574617171,25403,converted from rial using BIS end-of-period IRR/USD,2.896,0.8651254954,236.47,1.00,0.1578173025,0.8670791509,0.7073081929
